date,ticker,market,score,action,regime,rsi,v200,rs,hi52,lo52,rng,vsMean,px,sector,industry,spy_px,spy_pct_vs200
2026-06-02,WAAREEENER,India,64,HOLD,BULL,49.8,-0.8,5.3,3737.7,2419.0,51,-0.0,3096.1001,Industrials,,759.57,11.7
2026-06-02,DIACABS,India,71,BUY,BULL,39.8,25.0,25.4,206.65,100.44,78,26.6,182.99,Industrials,,759.57,11.7
2026-06-02,FILATFASH,India,23,REDUCE,BULL,31.8,-37.0,-2.8,0.7,0.14,16,-44.0,0.23,Consumer Cyclical,,759.57,11.7
2026-06-02,NBCC,India,60,HOLD,BULL,79.8,1.7,9.6,127.87,77.52,53,-1.1,104.4,Industrials,,759.57,11.7
2026-06-03,GOOG,US,50,HOLD,BULL,21.1,17.8,4.2,399.04,165.64,81,28.2,355.68,Communication Services,Diversified Telecommunication Services,754.24,10.8
2026-06-03,AMZN,US,54,HOLD,BULL,27.2,7.8,5.0,274.99,198.79,67,8.9,250.02,Consumer Discretionary,Internet & Direct Marketing Retail,754.24,10.8
2026-06-03,AVGO,US,71,BUY,BULL,81.3,35.4,28.5,481.57,242.32,99,41.9,479.23,Information Technology,Semiconductors & Semiconductor Equipment,754.24,10.8
2026-06-03,GLW,US,69,BUY,BULL,63.0,76.3,35.9,207.96,49.06,95,97.4,200.76,Information Technology,Electronic Equipment, Instruments & Components,754.24,10.8
2026-06-03,GEV,US,42,HOLD,BULL,33.5,27.4,2.7,1149.53,464.29,72,34.6,959.36,Energy,,754.24,10.8
2026-06-03,MU,US,71,BUY,BULL,87.6,206.1,156.2,1079.57,102.01,100,255.2,1079.5699,Information Technology,Semiconductors & Semiconductor Equipment,754.24,10.8
2026-06-03,MSFT,US,49,HOLD,BULL,49.2,-6.1,-6.1,538.66,356.0,39,-7.9,427.34,Information Technology,Software,754.24,10.8
2026-06-03,MP,US,60,HOLD,BULL,57.3,9.1,-0.4,98.65,22.0,61,14.7,68.55,Materials,Metals & Mining,754.24,10.8
2026-06-03,RKLB,US,69,BUY,BULL,37.8,63.2,54.7,150.23,25.41,72,80.0,114.7,Industrials,Aerospace & Defense,754.24,10.8
2026-06-03,SHIP,US,64,HOLD,BULL,50.9,42.9,4.5,16.68,6.05,90,55.7,15.57,Industrials,Marine,754.24,10.8
2026-06-03,NOW,US,49,HOLD,BULL,58.1,-16.3,-10.6,208.94,83.0,28,-22.3,117.9,Information Technology,Software,754.24,10.8
2026-06-03,TTE,US,52,HOLD,BULL,48.7,24.6,1.4,93.6,55.73,89,29.5,89.58,Energy,Oil, Gas & Consumable Fuels,754.24,10.8
2026-06-03,EWY,US,68,BUY,BULL,70.8,84.8,51.8,216.7,60.53,98,101.2,212.96,ETF,,754.24,10.8
2026-06-03,HUMN,US,69,BUY,BULL,61.9,25.2,11.3,38.92,23.94,97,28.6,38.53,ETF,,754.24,10.8
2026-06-03,VOOG,US,67,HOLD,BULL,64.2,14.2,5.3,85.11,62.45,96,16.7,84.19,ETF,,754.24,10.8
2026-06-03,ORCL,US,69,BUY,BULL,66.4,11.8,43.0,325.76,136.0,50,9.8,230.33,Information Technology,Software,754.24,10.8
2026-06-03,SBIN,India,41,HOLD,BULL,37.7,-1.3,-28.4,1206.06,771.2,43,2.6,956.65,Financial Services,,754.24,10.8
2026-06-03,AVADHSUGAR,India,60,HOLD,BULL,37.5,10.7,6.3,539.51,311.25,64,6.3,456.45,Consumer Defensive,,754.24,10.8
2026-06-03,IRBINVIT,India,58,HOLD,BULL,63.5,3.1,-10.2,60.71,49.02,99,4.6,60.58,InvIT,,754.24,10.8
2026-06-03,JYOTISTRUC,India,40,HOLD,BULL,43.0,0.6,-2.2,20.37,7.97,36,-8.7,12.4,Industrials,,754.24,10.8
2026-06-03,GMBREW,India,49,HOLD,BULL,42.6,-4.4,-16.0,1251.89,666.3,42,0.8,914.2,Consumer Defensive,,754.24,10.8
2026-06-03,GOLDBEES_M,India,52,HOLD,BULL,50.3,14.5,-14.4,146.53,79.1,74,21.4,128.67,Unknown,,754.24,10.8
2026-06-03,GOLDBEES_U,India,52,HOLD,BULL,50.3,14.5,-14.4,146.53,79.1,74,21.4,128.67,Unknown,,754.24,10.8
2026-06-03,RELIANCE,India,20,REDUCE,BULL,28.1,-8.0,-17.1,1592.3,1304.6,3,-8.2,1314.6,Energy,,754.24,10.8
2026-06-03,WAAREEENER,India,60,HOLD,BULL,50.6,-0.7,5.5,3737.7,2419.0,52,0.0,3099.8,Industrials,,754.24,10.8
2026-06-03,DIACABS,India,69,BUY,BULL,55.0,32.8,30.0,206.65,100.44,89,34.4,194.65,Industrials,,754.24,10.8
2026-06-03,FILATFASH,India,23,REDUCE,BULL,31.8,-36.7,-2.2,0.7,0.14,16,-43.8,0.23,Consumer Cyclical,,754.24,10.8
2026-06-03,NBCC,India,60,HOLD,BULL,77.9,1.4,8.2,127.87,77.52,53,-1.3,104.11,Industrials,,754.24,10.8
2026-06-04,GOOG,US,58,HOLD,BULL,43.6,22.0,7.5,399.04,165.64,87,32.7,369.27,Communication Services,Diversified Telecommunication Services,757.09,11.2
2026-06-04,AMZN,US,49,HOLD,BULL,35.5,9.4,7.1,274.99,198.79,72,10.5,253.79,Consumer Discretionary,Internet & Direct Marketing Retail,757.09,11.2
2026-06-04,AVGO,US,71,BUY,BULL,40.8,18.2,10.7,481.57,242.32,74,23.8,418.91,Information Technology,Semiconductors & Semiconductor Equipment,757.09,11.2
2026-06-04,GLW,US,69,BUY,BULL,59.1,72.6,38.0,207.96,49.06,94,93.3,197.7,Information Technology,Electronic Equipment, Instruments & Components,757.09,11.2
2026-06-04,GEV,US,42,HOLD,BULL,35.3,27.7,1.5,1149.53,464.29,73,34.8,963.33,Energy,,757.09,11.2
2026-06-04,MU,US,76,BUY,BULL,65.4,179.0,125.7,1079.57,103.0,91,223.9,996.0,Information Technology,Semiconductors & Semiconductor Equipment,757.09,11.2
2026-06-04,MSFT,US,49,HOLD,BULL,49.7,-5.9,-6.3,538.66,356.0,39,-7.7,428.05,Information Technology,Software,757.09,11.2
2026-06-04,MP,US,58,HOLD,BULL,49.1,4.2,-7.1,98.65,24.58,55,9.2,65.46,Materials,Metals & Mining,757.09,11.2
2026-06-04,RKLB,US,71,BUY,BULL,43.9,69.8,54.4,150.23,25.41,76,87.1,119.95,Industrials,Aerospace & Defense,757.09,11.2
2026-06-04,SHIP,US,66,HOLD,BULL,49.1,41.2,3.6,16.68,6.05,88,53.8,15.44,Industrials,Marine,757.09,11.2
2026-06-04,NOW,US,49,HOLD,BULL,59.5,-15.0,-9.0,208.94,83.0,29,-21.2,119.36,Information Technology,Software,757.09,11.2
2026-06-04,TTE,US,47,HOLD,BULL,53.5,25.1,-0.2,93.6,55.73,91,30.1,90.17,Energy,Oil, Gas & Consumable Fuels,757.09,11.2
2026-06-04,EWY,US,71,BUY,BULL,56.7,75.9,41.3,216.7,62.57,92,91.7,203.97,ETF,,757.09,11.2
2026-06-04,HUMN,US,64,HOLD,BULL,52.4,22.4,8.4,38.92,23.94,92,25.9,37.75,ETF,,757.09,11.2
2026-06-04,VOOG,US,67,HOLD,BULL,63.1,14.0,4.6,85.11,62.45,96,16.5,84.13,ETF,,757.09,11.2
2026-06-04,ORCL,US,69,BUY,BULL,69.4,14.8,33.1,325.76,136.0,53,12.6,236.34,Information Technology,Software,757.09,11.2
2026-06-04,SBIN,India,43,HOLD,BULL,52.4,0.0,-25.8,1206.06,771.2,46,4.0,970.45,Financial Services,,757.09,11.2
2026-06-04,AVADHSUGAR,India,54,HOLD,BULL,55.8,13.7,2.6,539.51,311.25,69,9.4,468.9,Consumer Defensive,,757.09,11.2
2026-06-04,IRBINVIT,India,58,HOLD,BULL,53.0,2.6,-10.8,60.71,49.17,96,3.9,60.27,InvIT,,757.09,11.2
2026-06-04,JYOTISTRUC,India,43,HOLD,BULL,52.9,3.7,2.4,20.37,7.97,39,-5.9,12.76,Industrials,,757.09,11.2
2026-06-04,GMBREW,India,47,HOLD,BULL,35.1,-6.4,-21.0,1251.89,666.3,39,-1.3,896.35,Consumer Defensive,,757.09,11.2
2026-06-04,GOLDBEES_M,India,54,HOLD,BULL,42.1,13.4,-14.7,146.53,79.1,72,20.2,127.64,Unknown,,757.09,11.2
2026-06-04,GOLDBEES_U,India,54,HOLD,BULL,42.1,13.4,-14.7,146.53,79.1,72,20.2,127.64,Unknown,,757.09,11.2
2026-06-04,RELIANCE,India,20,REDUCE,BULL,27.6,-8.0,-18.8,1592.3,1304.6,3,-8.2,1313.2,Energy,,757.09,11.2
2026-06-04,WAAREEENER,India,64,HOLD,BULL,47.1,-1.1,5.1,3737.7,2419.0,50,-0.5,3084.5,Industrials,,757.09,11.2
2026-06-04,DIACABS,India,71,BUY,BULL,47.9,28.6,27.2,206.65,100.44,83,30.0,188.68,Industrials,,757.09,11.2
2026-06-04,FILATFASH,India,32,REDUCE,BULL,16.0,-38.8,3.5,0.7,0.14,14,-46.0,0.22,Consumer Cyclical,,757.09,11.2
2026-06-04,NBCC,India,58,HOLD,BULL,66.2,-0.4,7.1,127.87,77.52,49,-3.0,102.24,Industrials,,757.09,11.2
2026-06-05,GOOG,US,58,HOLD,BULL,40.2,20.5,9.6,399.04,165.64,86,31.1,365.76,Communication Services,Diversified Telecommunication Services,737.55,8.2
2026-06-05,AMZN,US,54,HOLD,BULL,27.9,6.0,6.4,274.99,198.79,62,7.0,246.03,Consumer Discretionary,Internet & Direct Marketing Retail,737.55,8.2
2026-06-05,AVGO,US,49,HOLD,BULL,31.0,8.7,4.0,481.57,242.32,60,13.8,385.73,Information Technology,Semiconductors & Semiconductor Equipment,737.55,8.2
2026-06-05,GLW,US,63,HOLD,BULL,40.2,54.3,26.0,207.96,49.06,81,72.8,177.58,Information Technology,Electronic Equipment, Instruments & Components,737.55,8.2
2026-06-05,GEV,US,44,HOLD,BULL,28.6,23.5,1.2,1149.53,464.29,68,30.3,933.61,Energy,,737.55,8.2
2026-06-05,MU,US,81,BUY,BULL,44.8,139.5,102.2,1079.57,104.73,78,178.3,864.01,Information Technology,Semiconductors & Semiconductor Equipment,737.55,8.2
2026-06-05,MSFT,US,41,HOLD,BULL,41.5,-8.3,-7.1,538.66,356.0,33,-10.1,416.67,Information Technology,Software,737.55,8.2
2026-06-05,MP,US,29,REDUCE,BULL,36.7,-5.7,-12.5,98.65,25.64,46,-1.5,59.18,Materials,Metals & Mining,737.55,8.2
2026-06-05,RKLB,US,69,BUY,BULL,36.2,55.1,50.0,150.23,25.41,68,70.8,110.08,Industrials,Aerospace & Defense,737.55,8.2
2026-06-05,SHIP,US,71,BUY,BULL,49.2,40.8,12.8,16.68,6.05,88,53.4,15.45,Industrials,Marine,737.55,8.2
2026-06-05,NOW,US,46,HOLD,BULL,50.4,-19.8,-11.5,208.94,83.0,23,-25.6,112.45,Information Technology,Software,737.55,8.2
2026-06-05,TTE,US,49,HOLD,BULL,42.3,22.9,-0.9,93.6,55.91,87,27.8,88.71,Energy,Oil, Gas & Consumable Fuels,737.55,8.2
2026-06-05,EWY,US,61,HOLD,BULL,32.6,50.4,30.8,216.7,63.92,73,64.0,175.19,ETF,,737.55,8.2
2026-06-05,HUMN,US,69,BUY,BULL,34.7,15.0,4.8,38.92,23.94,77,18.3,35.51,ETF,,737.55,8.2
2026-06-05,VOOG,US,69,BUY,BULL,32.2,9.6,3.3,85.11,62.45,82,12.0,80.94,ETF,,737.55,8.2
2026-06-05,ORCL,US,70,BUY,BULL,49.7,3.8,23.7,325.76,136.0,41,1.7,213.68,Information Technology,Software,737.55,8.2
2026-06-05,SBIN,India,43,HOLD,BULL,59.4,0.9,-20.3,1206.06,771.2,48,4.8,979.25,Financial Services,,737.55,8.2
2026-06-05,AVADHSUGAR,India,60,HOLD,BULL,63.0,15.5,13.1,539.51,311.25,73,11.3,476.85,Consumer Defensive,,737.55,8.2
2026-06-05,IRBINVIT,India,58,HOLD,BULL,58.1,2.8,-8.9,60.71,49.27,98,4.2,60.45,InvIT,,737.55,8.2
2026-06-05,JYOTISTRUC,India,77,BUY,BULL,69.3,11.5,14.1,20.37,7.97,46,1.3,13.71,Industrials,,737.55,8.2
2026-06-05,GMBREW,India,29,REDUCE,BULL,31.4,-7.6,-18.3,1251.89,666.3,38,-2.5,886.0,Consumer Defensive,,737.55,8.2
2026-06-05,GOLDBEES_M,India,54,HOLD,BULL,50.0,13.9,-13.2,146.53,79.49,73,20.8,128.5,Unknown,,737.55,8.2
2026-06-05,GOLDBEES_U,India,54,HOLD,BULL,50.0,13.9,-13.2,146.53,79.49,73,20.8,128.5,Unknown,,737.55,8.2
2026-06-05,RELIANCE,India,20,REDUCE,BULL,24.0,-8.7,-19.5,1584.97,1297.7,0,-8.9,1297.7,Energy,,737.55,8.2
2026-06-05,WAAREEENER,India,61,HOLD,BULL,44.1,-1.6,7.1,3737.7,2419.0,49,-0.9,3071.6001,Industrials,,737.55,8.2
2026-06-05,DIACABS,India,69,BUY,BULL,52.6,31.1,31.9,206.65,100.44,87,32.5,192.69,Industrials,,737.55,8.2
2026-06-05,FILATFASH,India,25,REDUCE,BULL,10.2,-41.3,-0.5,0.7,0.14,12,-48.3,0.21,Consumer Cyclical,,737.55,8.2
2026-06-05,NBCC,India,62,HOLD,BULL,71.1,1.4,12.2,127.87,77.52,53,-1.2,104.08,Industrials,,737.55,8.2
